Nome Empresa;Código;Denominação;Natureza;Nome Natureza;Ref. salarial inicial (Plano de Cargos);Providos;Cargos<br>Vagos;Total;Providos;Empregos<br>Vagos;Total;Providos;Comissão<br>Vagos;Total;Providos;Contratos<br>Vagos;Total
PREFEITURA MUNICIPAL DE PADRE MARCOS;0146;COOR. DE LIMPEZA E CONSERVAÇÃO DA EDU. JOVENS E ADULTOS EJA;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0147;ASSESSSOR TECNICO ESCOLAR EDU. JOVENS E ADULTOS EJA;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0148;ASSESSOR DE PROJETOS DE GESTÃO AMBIENTAL;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0149;DIRETOR DE PROGRAMAS E POJETOS DO SETOR DE TRIBUTOS;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0150;DIR. DEPARTAMENTO DE CAMPO, LICITAÇÕES E CONTRATOS ADM;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0152;COORDENADORA DE ANÁLISES CLINICAS (HMPM);2;Comissão;;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1000;ODONTOLOGO;3;Temporário;3057;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1001;PSICOLOGO;3;Temporário;4667,03;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1002;SECRETARIA DE SAUDE- LOTADA;2;Comissão;2255,6;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1003;SECRETARIO (A) ADMINISTRATIVA;2;Comissão;2255,6;0;0;0;0;0;0;0;0;0;0;0;0
